"","genre","freqRecord","freqDataSource"
"430","Conference contribution",39221,10
"431","Cikk, tanulmány, mű",39064,1
"432","EU Commission – Working Document",38761,1
"433","Preprint",38661,357
"434","Dissertation/thesis",38447,1
"435","muzeális dokumentum",38402,2
"436","Editorial",38169,280
"437","博士論文 Doctoral Thesis",37693,2
"438","VORS",37690,2
"439","material textual, impresso",37477,1
"440","Manuscript",37428,69
"441","Karya Ilmiah",37266,1
"442","manuscripttext",37142,8
"443","Main Document",37097,1
"444","doc-type:conferenceObject",36992,27
"445","bacterial metadata",36596,1
"446","Monographie",36553,14
"447","一般雑誌記事",36487,7
"448","black-and-white photographs",36485,10
"449","conference, seminar, workshop communication",36291,3
"450","Article de périodique (Journal article)",36092,3
"451","Conference report",35932,27
"452","データ・データベース",35434,1
"453","データセット(萩庭) Dataset(Haginiwa)",35432,1
"454","IHb",35073,4
"455","doc-type:doctoralthesis",35060,32
"456","Buku – Circulation (Dapat Dipinjam)",35047,2
"457","színdarab(ok)",35014,1
"458","info:ulb-repo/semantics/openurl/document",34724,1
"459","Prints",34368,17
"460","XML document",34310,1
"461","könyvrészlet",34257,3
"462","Discussion paper",34247,16
"463","Moving Image",34087,78
"464","research report",34001,15
"465","学協会口頭（ポスターセッションを含む）",33906,1
"466","Publication – Article",33903,2
"467","disszertáció",33856,6
"468","picture",33837,14
"469","Artículo – Article",33809,1
"470","Fotografies",33713,1
"471","VOR                                     ",33687,2
"472","D1 Artikkeli ammattilehdessä",33663,5
"473","stary druk",33650,23
"474","Documento Completo",33212,2
"475","学術雑誌論文;Journal Article",33201,1
"476","Collection de périodiques",33001,1
"477","专利",32928,48
"478","Field_expedition",32884,1
"479","text/xml",32838,1
"480","Zeitschrift",32824,8
"481","nyomtatvány",32784,2
"482","None",32770,4
"483","Reviewed (other)",32536,1
"484","Text.Thesis.Doctoral",32457,14
"485","DI",32341,6
"486","esszé(k)",32339,1
"487","Photographic prints",32267,22
"488","kisregény",32142,1
"489","research-article",32064,34
"490","Texto policopiado]",31926,1
"491","Dissertação (Mestrado)",31900,1
"492","Tese",31875,23
"493","szakkönyv",31857,2
"494","book-review",31801,29
"495","hungarikum",31760,1
"496","OCCURRENCE",31735,1
"497","interactive resource",31679,13
"498","ressource multimédia",31606,2
"499","misc",31589,5
"500","info:eu-repo/semantics/patent",31378,187
